자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,,
what is there to see in barcelona?,what is there to see in <LOCATION>?,X,,,,,
who is larry ellison oracle?,who is <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
what is the zip code for fort stockton texas?,what is the zip code for <LOCATION>?,X,,,,,
what teams drafted the morris twins?,what teams drafted the <ORGANIZATION>?,X,,,,,
what state does obama come from?,what state does <PERSON> come from?,X,,,,,
who does tim howard play for club?,who does <PERSON> play for club?,X,,,,,
what did egyptians speak?,what did <MISC> speak?,O,MATCH (p)-[r:LANGUAGES_SPOKEN_WRITTEN_OR_SIGNED]-(x) WHERE p.name = <MISC> RETURN x.name,,,,
what is vanderbilt's mascot?,what is <ORGANIZATION>'s mascot?,X,,,,,
what did whitney houston die off?,what did <PERSON> die off?,O,MATCH (p)-[r:CAUSE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
when was george w bush sworn in?,when was <PERSON> sworn in?,X,,,,,
what middle school did barack obama attend?,what middle school did <PERSON> attend?,X,,,,,
what are the airports in chicago?,what are the airports in <LOCATION>?,X,,,,,
what was van gogh famous for?,what was <PERSON> famous for?,O,MATCH (p)-[r:COMPOSER]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where did jane goodall go to school?,where did <PERSON> go to school?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who won 2012 presidential election in france?,who won <DATE> presidential election in <LOCATION>?,X,,,,,
what does donald trump own?,what does <PERSON> own?,O,MATCH (p)-[r:OWNER_OF]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what did thomson discover with his cathode ray tube experiment?,what did <PERSON> discover with his cathode ray tube experiment?,X,,,,,
where did emily murphy go to school?,where did <PERSON> go to school?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what are the major religions in russia?,what are the major religions in <LOCATION>?,O,match (c)-[:OFFICIAL_RELIGION]-(r) where c.name=<LOCATION> return r,,,,
what do most nigerians speak?,what do most <PERSON> speak?,O,MATCH (p)-[r:LANGUAGES_SPOKEN_WRITTEN_OR_SIGNED]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who was the general for the british in the revolutionary war?,who was the general for the <MISC> in the revolutionary war?,X,,,,,
what to do at fairfield ca?,what to do at <LOCATION>?,X,,,,,
where president nixon was born?,where <PERSON> was born?,O,MATCH (p)-[r:PLACE_OF_BIRTH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what currency does thailand accept?,what currency does <LOCATION> accept?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
what else did eli whitney invent?,what else did <PERSON> invent?,X,,,,,
who founded collegehumor?,who founded <LOCATION>?,O,MATCH (x)-[r:FOUNDED_BY]-(p) WHERE p.name = <LOCATION> RETURN x.name,,,,
where did barack obama attend school?,where did <PERSON> attend school?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what jobs did albert einstein have?,what jobs did <PERSON> have?,O,MATCH (p)-[r:OCCUPATION]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where to travel around sydney?,where to travel around <LOCATION>?,X,,,,,
what are the names of michael jackson movies?,what are the names of <PERSON> movies?,X,,,,,
what are the islands of oceania?,what are the islands of <LOCATION>?,X,,,,,
what timezone is illinois on?,what timezone is <LOCATION> on?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,,,,
what is the currency in france?,what is the currency in <LOCATION>?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
where is the head office of hsbc bank?,where is the head office of <ORGANIZATION>?,X,,,,,
what is the currency in england 2012?,what is the currency in <LOCATION> <DATE>?,X,,,,,
where was martin cooper from?,where was <PERSON> from?,O,MATCH (p)-[r:COUNTRY_OF_CITIZENSHIP]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where is spain exactly located?,where is <LOCATION> exactly located?,X,,,,,
what is the currency name of china?,what is the currency name of <LOCATION>?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
what movies did charlie hunnam play in?,what movies did <PERSON> play in?,X,,,,,
what kind of government does italy have?,what kind of government does <LOCATION> have?,X,,,,,
what medium is the school of athens?,what medium is the school of <LOCATION>?,X,,,,,
what year michael jordan came in the nba?,what <DURATION> <PERSON> came in the nba?,X,,,,,
what year did florida marlins win the world series?,what <DURATION> did <ORGANIZATION> win the world series?,X,,,,,
what movie did marlee matlin won an academy award for?,what movie did <PERSON> won an academy award for?,X,,,,,
who is leann rimes with now?,who is <PERSON> with <DATE>?,X,,,,,
who is the current leader of china today?,who is the <DATE> leader of <LOCATION> <DATE>?,X,,,,,
where north dakota located?,where <LOCATION> located?,X,,,,,
what countries did queen elizabeth ii rule?,what countries did <PERSON> rule?,X,,,,,
who played forrest gump as a kid?,who played <PERSON> as a kid?,X,,,,,
where was the battle of vicksburg held?,where was the battle of <LOCATION> held?,X,,,,,
what kind of artist is henri matisse?,what kind of artist is <PERSON>?,O,MATCH (p)-[r:GENRE]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what are the duggars kids names and ages?,what are the <ORGANIZATION> kids names and ages?,X,,,,,
where does ben stiller live in ny?,where does <PERSON> live in <LOCATION>?,X,,,,,
what is the official language in mexico?,what is the official language in <LOCATION>?,X,no official language property,,,,
what wars did ulysses s grant served in?,what wars did <PERSON> served in?,X,,,,,
who is the head coach of the tennessee titans?,who is the head coach of the <ORGANIZATION>?,X,,,,,
what type of government does fiji have?,what type of government does <LOCATION> have?,X,,,,,
in what state did the bloody battle of antietam take place?,in what state did the bloody battle of <ORGANIZATION> take place?,X,,,,,
where did vietnamese people originate from?,where did <MISC> people originate from?,X,,,,,
who was dan cody?,who was <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
what language do people speak in turkey?,what language do people speak in <LOCATION>?,X,no official language property,,,,
what are all the inventions benjamin franklin made?,what are all the inventions <PERSON> made?,X,,,,,
what was wrong with joan crawford?,what was wrong with <PERSON>?,X,,,,,
who does debbie dingle go out with?,who does <PERSON> go out with?,X,,,,,
what country was anton van leeuwenhoek from?,what country was <PERSON> from?,O,MATCH (p)-[r:COUNTRY_OF_CITIZENSHIP]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what is the time in france if it is 8am in scotland?,what is the time in <LOCATION> if it is <TIME> in <LOCATION>?,X,,,,,
who played todd manning on one life to live?,who played <PERSON> on <NUMBER> life to live?,X,,,,,
what does latin america consist of?,what does <LOCATION> consist of?,X,,,,,
who is the manager of the st louis cardinals?,who is the manager of the <ORGANIZATION>?,X,,,,,
where in oregon was stand by me filmed?,where in <LOCATION> was stand by me filmed?,X,,,,,
what country vasco da gama sail for?,what country <PERSON> sail for?,X,,,,,
what did writers of the harlem renaissance write about?,what did writers of the <LOCATION> renaissance write about?,X,,,,,
what is the language they speak in jamaica?,what is the language they speak in <LOCATION>?,X,no official language property,,,,
where to live in duluth ga?,where to live in <LOCATION>?,X,,,,,
what is the currency in australia 2011?,what is the currency in <LOCATION> <DATE>?,X,,,,,
where did prophet daniel died?,where did prophet <PERSON> died?,O,MATCH (p)-[r:PLACE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what state was theodore roosevelt from?,what state was <PERSON> from?,X,,,,,
what does the term prima donna mean?,what does the term prima <PERSON> mean?,X,,,,,
what form of government does brazil have?,what form of government does <LOCATION> have?,X,,,,,
where did lebron james go to highschool?,where did <PERSON> go to highschool?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where was toussaint l'ouverture from?,where was <PERSON> l'ouverture from?,X,,,,,
where do the fla marlins play?,where do the <ORGANIZATION> play?,O,MATCH (o)-[:LOCATION]-(x) WHERE o.name = <ORGANIZATION> RETURN x,,,,
what type of art does wassily kandinsky do?,what type of art does <PERSON> do?,O,MATCH (p)-[r:GENRE]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who won london mayoral elections 2012?,who won <MISC> elections <DATE>?,X,,,,,
who was arthur miller father?,who was <PERSON> father?,O,MATCH (x)-[r:CHILD]-(p) WHERE p.name = <PERSON> RETURN x,,,,
what influenced william morris to be an artist?,what influenced <PERSON> to be an artist?,O,MATCH (p)-[r:INFLUENCED_BY]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where do the abenaki indians live?,where do the <PERSON> live?,O,MATCH (p)-[r:COUNTRY_OF_CITIZENSHIP]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what super bowls have the giants won?,what super bowls have the <ORGANIZATION> won?,X,,,,,
where was rod stewart born?,where was <PERSON> born?,O,MATCH (p)-[r:PLACE_OF_BIRTH]-(x) WHERE p.name = <PERSON> RETURN x,,,,
what did jack kevorkian go to prison for?,what did <PERSON> go to prison for?,X,,,,,
which country uses euro as its main currency?,which country uses <MISC> as its main currency?,O,MATCH (x)-[r:CURRENCY]-(c) WHERE c.name = <MISC> RETURN x.name,,,,
who is ruling tunisia now?,who is ruling <LOCATION> <DATE>?,X,,,,,
who played eowyn in the lord of the rings movies?,who played <PERSON> in <MOVIE>?,X,,,,,
where is the parliament in south africa?,where is the parliament in <LOCATION>?,X,,,,,
what important office did abraham lincoln hold?,what important office did <PERSON> hold?,X,,,,,
which country has adopted the euro as its currency ( 1 point )?,which country has adopted the <MISC> as its currency ( <NUMBER> point )?,X,,,,,
where did michael jordan play high school basketball?,where did <PERSON> play high school basketball?,X,,,,,
what type of cancer did huell howser die of?,what type of cancer did <PERSON> die of?,X,,,,,
what timezone is minneapolis in?,what timezone is <LOCATION> in?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,,,,
who is aidan davis?,who is <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
who is samantha gibb?,who is <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
what was nicolaus copernicus occupation?,what was <PERSON> occupation?,O,MATCH (p)-[r:OCCUPATION]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what did richard arkwright contribute to the industrial revolution?,what did <PERSON> contribute to the industrial revolution?,X,,,,,
what kind of currency does greece have?,what kind of currency does <LOCATION> have?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
when did manchester united first win a trophy?,when did <ORGANIZATION> win a trophy?,X,,,,,
where is the mozambique located?,where is the <LOCATION> located?,X,,,,,
where is isthmus of panama located?,where is isthmus of <LOCATION> located?,X,,,,,
what to see in washington dc in 2 days?,what to see in <LOCATION> in <DURATION>?,X,,,,,
where is azerbaijan?,where is <LOCATION>?,X,,,,,
what is the money of argentina called?,what is the money of <LOCATION> called?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
what college did matt schaub play for?,what college did <PERSON> play for?,X,,,,,
what did bella abzug do?,what did <PERSON> do?,O,MATCH (p)-[r:OCCUPATION]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what sights to see in madrid?,what sights to see in <LOCATION>?,X,,,,,
what good things has angelina jolie done?,what good things has <MISC> jolie done?,X,,,,,
what films has gerard butler starred in?,what films has <PERSON> starred in?,X,,,,,
what films did hans zimmer wrote music for?,what films did <PERSON> wrote music for?,X,,,,,
where was alice paul born?,where was <PERSON> born?,O,MATCH (p)-[r:PLACE_OF_BIRTH]-(x) WHERE p.name = <PERSON> RETURN x,,,,
what did john quincy adams died of?,what did <PERSON> died of?,O,MATCH (p)-[r:CAUSE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what is means testing medicare?,what is means testing <MISC>?,X,,,,,
who did juan ponce de leon mary?,who did <PERSON>?,X,,,,,
what time zone in the uk?,what time zone in the <LOCATION>?,O,MATCH (o)-[r:LOCATED_IN_TIME_ZONE]-(x) WHERE o.name = <LOCATION> RETURN x.name,,,,
what is the political system in italy?,what is the political system in <LOCATION>?,X,,,,,
who is the leader of france 2012?,who is the leader of <LOCATION> <DATE>?,X,,,,,
who is raquel welch's daughter?,who is <PERSON>'s daughter?,O,MATCH (p)-[r:CHILD]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what kind of art did leonardo da vinci produce?,what kind of art did <PERSON> produce?,O,MATCH (s:Song)-[:PERFORMER]-(p) WHERE p.name=<PERSON> RETURN s.name,,,,
what does the zambezi river flow into?,what does the <LOCATION> flow into?,X,,,,,
what states does the connecticut river flow through?,what states does the <LOCATION> flow through?,X,,,,,
what money is used in the maldives?,what money is used in the <LOCATION>?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
what is anderson cooper?,what is <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
where does mike leach coach?,where does <PERSON> coach?,X,,,,,
what is the zip code of new york city?,what is the zip code of <LOCATION>?,X,,,,,
what condition does michael j fox have?,what condition does <PERSON> have?,X,,,,,
where did jrr tolkien live?,where did jrr <ORGANIZATION> live?,X,,,,,
what are the major languages of italy?,what are the major languages of <LOCATION>?,O,MATCH (p)-[r:OFFICIAL_LANGUAGE]-(x) WHERE p.name = <LOCATION> RETURN x.name,,,,
what to do in panama city beach fl?,what to do in <LOCATION>?,X,,,,,
what is currency in dominican republic?,what is currency in <LOCATION>?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
where is san miguel mexico on map?,where is <LOCATION> on map?,X,,,,,
where does the tsunami happened in japan?,where does the tsunami happened in <LOCATION>?,X,,,,,
where are the great pyramid of giza located?,where are the great pyramid of <LOCATION> located?,X,,,,,
what was liam neeson's character in star wars?,what was <PERSON>'s character in star wars?,X,,,,,
who plays the voice of lois griffin?,who plays the voice of <PERSON>?,X,,,,,
what team does sergio aguero play for?,what team does <PERSON> play for?,X,,,,,
what is the capital of georgia?,what is the capital of <LOCATION>?,O,MATCH (c)-[r:CAPITAL]-(x) WHERE c.name=<LOCATION> RETURN x.name,,,,
when did they stop making ford rangers?,when did they stop making <ORGANIZATION>?,X,,,,,
what color is miley cyrus red hair?,what color is <PERSON> red hair?,X,,,,,
who is the present chief justice of the u.s. supreme court?,who is the <DATE> chief justice of the <ORGANIZATION>?,X,,,,,
who is susan st james?,who is <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
what is chris paul's son name?,what is <PERSON>'s son name?,O,MATCH (p)-[r:CHILD]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what did einstein invent?,what did <PERSON> invent?,X,,,,,
